E10,E0,E23,E20,E9,E11,E18,E24,E19,E17,E8,E25,E4,E12,E3,E15,E7,E14,E5,E16,E2,E6,E21,E1,E13,E22
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,,,,"[1, 'news']","[1, 'rhost=218.188.2.4', ' user=test']",,[1],,"[0, 'rhost=061092085098.ctinets.com']",,,"[353, 'news', '(uid=0)']",[2],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,,,,"[1, 'cyrus']","[3, 'rhost=218.188.2.4', ' user=test']",,[1],,"[0, 'rhost=061092085098.ctinets.com']",,,"[85635, 'cyrus', '(uid=0)']",[0],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,,,,"[2, 'news']","[1, 'rhost=218.188.2.4', ' user=test']",,[0],,"[0, 'rhost=061092085098.ctinets.com']",,,"[367, 'news', '(uid=0)']",[2],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,,,,"[331, 'test']","[0, 'rhost=218.188.2.4', ' user=test']",,[1],,"[0, 'rhost=061092085098.ctinets.com']",,,"[2773, 'test', '(uid=509)']",[8044],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']","[0, '163.27.187.39', '163.27.187.39']",,,,,"[1, 'cyrus']","[5, 'rhost=218.188.2.4', ' user=test']",,[0],,"[0, 'rhost=061092085098.ctinets.com']",,,"[6235, 'cyrus', '(uid=0)']",[0],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']",,,,,,"[1, 'news']","[170, 'rhost=218.188.2.4', ' user=test']",,[1],,"[0, 'rhost=061092085098.ctinets.com']",,,"[336, 'news', '(uid=0)']",[1],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']",,,,,,"[0, 'cyrus']","[6, 'rhost=218.188.2.4', ' user=test']",,[1],,"[0, 'rhost=061092085098.ctinets.com']",,,"[86172, 'cyrus', '(uid=0)']",[0],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[1, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']",,,,,,"[0, 'news']","[4499, 'rhost=211.46.241.200', ' user=guest']",,[1],,"[0, 'rhost=061092085098.ctinets.com']",,,"[367, 'news', '(uid=0)']",[1],
[0],"[1, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']",,,,,,"[0, 'cyrus']","[4105, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=061092085098.ctinets.com']",,,"[1315, 'cyrus', '(uid=0)']",[1],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']",,,,,,"[1, 'news']","[0, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=061092085098.ctinets.com']",,,"[342, 'news', '(uid=0)']",[0],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']",,,,,,"[1, 'cyrus']","[0, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=d211-116-254-214.rev.krline.net']",,,"[67609, 'cyrus', '(uid=0)']",[1],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']",,,,,,"[1, 'news']","[0, 'rhost=61.153.202.254', ' user=root']",,[0],,"[0, 'rhost=d211-116-254-214.rev.krline.net']",,,"[364, 'news', '(uid=0)']",[1],
[0],"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']",,,,,,"[1, 'cyrus']","[0, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=d211-116-254-214.rev.krline.net']",,,"[2856, 'cyrus', '(uid=0)']",[0],
,"[84341, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[13333, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'news']","[0, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=d211-116-254-214.rev.krline.net']",,,"[342, 'news', '(uid=0)']",[94],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'cyrus']","[0, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=d211-116-254-214.rev.krline.net']",,,"[4214, 'cyrus', '(uid=0)']",[3],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'news']","[0, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[458, 'news', '(uid=0)']",[18161],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'cyrus']","[0, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[16529, 'cyrus', '(uid=0)']",[0],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'news']","[0, 'rhost=61.153.202.254', ' user=root']",,[1],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[337, 'news', '(uid=0)']",[0],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'cyrus']","[312, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[0],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[32947, 'cyrus', '(uid=0)']",[0],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'news']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[1],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[368, 'news', '(uid=0)']",[0],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'cyrus']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[1],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[31123, 'cyrus', '(uid=0)']",[0],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[2, 'news']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[0],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[331, 'news', '(uid=0)']",[0],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'cyrus']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[0],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[85963, 'cyrus', '(uid=0)']",[0],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'news']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[1],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[367, 'news', '(uid=0)']",[0],
,"[0, '222.33.90.199', '0', 'Mon', 'Jun', '20', '03:40:59']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'cyrus']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[1],,"[0, 'rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,"[71856, 'cyrus', '(uid=0)']",[0],
,"[31534, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'news']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[0],,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[343, 'news', '(uid=0)']",[11896],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'cyrus']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[1],,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[2447, 'cyrus', '(uid=0)']",[1],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'news']","[0, 'rhost=under-eepc58.kaist.ac.kr', ' user=root']",,[1],,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[377, 'news', '(uid=0)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'cyrus']","[24404, 'rhost=202.101.42.106', ' user=root']",,[1],,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[47946, 'cyrus', '(uid=0)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'news']","[1, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[347, 'news', '(uid=0)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'test']","[0, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[5006, 'test', '(uid=509)']",[1],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'test']","[1, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[0, 'test', '(uid=509)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'test']","[3, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[0, 'test', '(uid=509)']",[1],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'test']","[2, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[0, 'test', '(uid=509)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[1, 'test']","[1, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=ip-216-69-169-168.ip.secureserver.net']",,,"[0, 'test', '(uid=509)']",[1],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']",,,,,,"[0, 'test']","[2, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[0, 'test', '(uid=509)']",[64],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[3262, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[0, 'test']","[1, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[0, 'test', '(uid=509)']",[1],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[0, 'test']","[4, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[0, 'test', '(uid=509)']",[28791],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=218.188.2.4']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[0, 'test']","[2, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[0, 'test', '(uid=509)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=65.166.159.14']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[0, 'test']","[1, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[0, 'test', '(uid=509)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=65.166.159.14']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[1, 'cyrus']","[2, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[13422, 'cyrus', '(uid=0)']",[0],
,"[1, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:30']",,"[0, 'tty=NODEVssh', 'rhost=65.166.159.14']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[1, 'news']","[0, 'rhost=202.101.42.106', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[376, 'news', '(uid=0)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:31']",,"[0, 'tty=NODEVssh', 'rhost=65.166.159.14']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[0, 'test']","[27778, 'rhost=211.233.12.249', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[3050, 'test', '(uid=509)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:31']",,"[0, 'tty=NODEVssh', 'rhost=65.166.159.14']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[0, 'test']","[0, 'rhost=211.233.12.249', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[0, 'test', '(uid=509)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:31']",,"[0, 'tty=NODEVssh', 'rhost=65.166.159.14']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[0, 'test']","[0, 'rhost=211.233.12.249', ' user=root']",,,,"[0, 'rhost=massive.merukuru.org']",,,"[0, 'test', '(uid=509)']",[0],
,"[0, '210.245.165.136', '0', 'Wed', 'Jun', '22', '13:16:31']",,"[0, 'tty=NODEVssh', 'rhost=65.166.159.14']",,,,,,"[0, '65.35.73.251', '(251-73.35-65.tampabay.res.rr.com)', 'Mon', 'Jun', '13', '12:49:32']",,,,,,"[0, 'test']","[0, 'rhost=211.233.12.249', ' user=root']",,,,"[0, 'rhost=biblioteka.wsi.edu.pl']",,,"[1, 'test', '(uid=509)']",[0],
