log message,log key,parameter value vector,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
Jun 15 14:53:32 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:32 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:32 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:32 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:32 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:33 check pass; user unknown,E60,[1],1,,,,,,,,,,,,,,,
Jun 15 14:53:33 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:34 check pass; user unknown,E60,[1],1,,,,,,,,,,,,,,,
Jun 15 14:53:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:35 check pass; user unknown,E60,[1],1,,,,,,,,,,,,,,,
Jun 15 14:53:35 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:35 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:35 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:35 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:35 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:36 check pass; user unknown,E60,[1],1,,,,,,,,,,,,,,,
Jun 15 14:53:36 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 14:53:36 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:36 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E31,"[0, '061092085098.ctinets.com']",0,061092085098ctinetscom,,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E60,[18715],18715,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E31,"[0, 'd211-116-254-214.rev.krline.net']",0,d211116254214revkrlinenet,,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E31,"[0, 'd211-116-254-214.rev.krline.net']",0,d211116254214revkrlinenet,,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E31,"[0, 'd211-116-254-214.rev.krline.net']",0,d211116254214revkrlinenet,,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E31,"[0, 'd211-116-254-214.rev.krline.net']",0,d211116254214revkrlinenet,,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E31,"[0, 'd211-116-254-214.rev.krline.net']",0,d211116254214revkrlinenet,,,,,,,,,,,,,,
Jun 16 04:10:22 session opened for user cyrus by (uid=0),E86,"[29091, 'cyrus', '0']",29091,cyrus,0,,,,,,,,,,,,,
Jun 16 04:10:23 session closed for user cyrus,E12,"[1, 'cyrus']",1,cyrus,,,,,,,,,,,,,,
Jun 16 04:10:24 ALERT exited abnormally with [1],E101,[1],1,,,,,,,,,,,,,,,
Jun 16 04:16:17 session opened for user news by (uid=0),E86,"[353, 'news', '0']",353,news,0,,,,,,,,,,,,,
Jun 16 04:16:18 session closed for user news,E12,"[1, 'news']",1,news,,,,,,,,,,,,,,
Jun 17 04:03:33 session opened for user cyrus by (uid=0),E86,"[85635, 'cyrus', '0']",85635,cyrus,0,,,,,,,,,,,,,
Jun 17 04:03:34 session closed for user cyrus,E12,"[1, 'cyrus']",1,cyrus,,,,,,,,,,,,,,
Jun 17 04:03:36 ALERT exited abnormally with [1],E101,[2],2,,,,,,,,,,,,,,,
Jun 17 04:09:43 session opened for user news by (uid=0),E86,"[367, 'news', '0']",367,news,0,,,,,,,,,,,,,
Jun 17 04:09:45 session closed for user news,E12,"[2, 'news']",2,news,,,,,,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E88,"[10635, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",10635,245476216,245476216bflonyadelphianet,FriJun1707,07,002005,,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E88,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,245476216,245476216bflonyadelphianet,FriJun1707,07,002005,,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E88,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,245476216,245476216bflonyadelphianet,FriJun1707,07,002005,,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E88,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,245476216,245476216bflonyadelphianet,FriJun1707,07,002005,,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E88,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,245476216,245476216bflonyadelphianet,FriJun1707,07,002005,,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E88,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,245476216,245476216bflonyadelphianet,FriJun1707,07,002005,,,,,,,,,,
Jun 17 07:07:02 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,E88,"[2, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '02 2005']",2,245476216,245476216bflonyadelphianet,FriJun1707,07,022005,,,,,,,,,,
Jun 17 07:07:04 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,E88,"[2, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '04 2005']",2,245476216,245476216bflonyadelphianet,FriJun1707,07,042005,,,,,,,,,,
Jun 17 19:43:13 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,E89,"[45369, '211.46.224.253']",45369,21146224253,,,,,,,,,,,,,,
Jun 17 20:29:26 session opened for user test by (uid=509),E86,"[2773, 'test', '509']",2773,test,509,,,,,,,,,,,,,
Jun 17 20:34:57 session closed for user test,E12,"[331, 'test']",331,test,,,,,,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E88,"[1209, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",1209,8225216281,lnsvlq45tou8225216281adslproxadnet,FriJun1720,55,062005,,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,FriJun1720,55,062005,,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,FriJun1720,55,062005,,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,FriJun1720,55,062005,,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,FriJun1720,55,062005,,,,,,,,,,
Jun 17 20:55:07 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E88,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '07 2005']",1,8225216281,lnsvlq45tou8225216281adslproxadnet,FriJun1720,55,072005,,,,,,,,,,
Jun 17 20:55:07 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '07 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,FriJun1720,55,072005,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[16552],16552,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E60,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E31,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,adsl7024275179dslksc2moswbellnet,,,,,,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E88,"[2231, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",2231,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,102005,,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,102005,,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,102005,,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,102005,,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,102005,,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,102005,,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,102005,,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E88,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",1,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,112005,,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,112005,,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,112005,,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,112005,,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E88,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",0,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,112005,,,,,,,,,,
Jun 18 02:08:12 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E88,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '12 2005']",1,8225216281,lnsvlq45tou8225216281adslproxadnet,SatJun1802,08,122005,,,,,,,,,,
