E25,E0,E13,E4,E7,E1,E8,E11,E15,E3,E6,E5,E16,E22,E21,E12,E23,E17,E10,E18,E19,E9,E20,E2,E24,E14
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 168],[47, 57]","16529,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 168],[47, 57]","337,[172],[45, 32]",,,"0,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"312,[1, 148],[47, 57]","32947,[152],[45, 32]",,,"0,[152]",,,0,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","368,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","31123,[152],[45, 32]",,,"0,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","331,[172],[45, 32]",,,"2,[172]",,,0,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","85963,[152],[45, 32]",,,"1,[152]",,,0,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","367,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"0,[144],[32],[153],[175],[23],[13, 100, 25]",0,,"0,[1, 148],[47, 57]","71856,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 77]",,
,"31534,[95],[32],[165],[175],[16],[12, 11, 6]",11896,,"0,[1, 148],[47, 57]","343,[172],[45, 32]",,,"1,[172]",,,0,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"0,[1, 148],[47, 57]","2447,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"0,[1, 148],[47, 57]","377,[172],[45, 32]",,,"1,[172]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"24404,[1, 107],[47, 57]","47946,[152],[45, 32]",,,"1,[152]",,,1,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"1,[1, 107],[47, 57]","347,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"0,[1, 107],[47, 57]","5006,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"1,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"3,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"2,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"1,[1, 107],[47, 57]","0,[55],[45, 141]",,,"1,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 146]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",64,,"2,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[63],[156],[153],[175],[12],[10, 10, 18]",,,,,"0,[49, 76],[1, 89]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",1,,"1,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"3262,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 89]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",28791,,"4,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 89]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"2,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 89]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"1,[1, 107],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"2,[1, 107],[47, 57]","13422,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"1,[95],[32],[165],[175],[16],[12, 11, 6]",0,,"0,[1, 107],[47, 57]","376,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"27778,[1, 81],[47, 57]","3050,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 125]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"0,[1, 81],[47, 57]","1,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 133]",,
,"0,[95],[32],[165],[175],[16],[12, 11, 31]",0,,"0,[1, 81],[47, 57]","4633,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 133]",,
,"1,[95],[32],[165],[175],[16],[12, 11, 39]",45,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"1,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 133]",,
,"53039,[182],[32],[158],[175],[24],[17, 22, 46]",1,,"1,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 102]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",9612,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 80]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",0,,"0,[1, 81],[47, 57]","53088,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",0,,"0,[1, 81],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",1,,"38937,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 133]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",1,,"0,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 46]",1,,"0,[1, 61],[47, 57]","1,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 105]","0,[1, 121]",,
,"7,[182],[32],[158],[175],[24],[17, 22, 17]",0,,"0,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",0,,"0,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",1,,"0,[1, 61],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",0,,"0,[1, 61],[47, 57]","8549,[152],[45, 32]",,,"0,[152]",,,,,,,,,"0,[147],[192],[153],[175],[12],[2, 30, 39]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",18715,,"0,[1, 61],[47, 57]","350,[172],[45, 32]",,,"1,[172]",,,,,,,,,"10635,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 114]","0,[1, 121]",,
,"0,[182],[32],[158],[175],[24],[17, 22, 17]",0,,"0,[1, 61],[47, 57]","85924,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 32],[1]","0,[1, 121]",,
,"516,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 61],[47, 57]","357,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 189]","0,[1, 121]",,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"45369,[1, 60],[47, 149]","17217,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 189]","0,[1, 121]",,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"17012,[1, 184],[47, 149]","340,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 189]","0,[1, 124]",,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",16552,,"0,[1, 184],[47, 149]","31635,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[92],[116],[158],[175],[34],[9, 9, 19]",,,,,"0,[49, 76],[1, 189]","0,[1, 124]",,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 184],[47, 149]","371,[172],[45, 32]",,,"1,[172]",,,,,,,,,"2,[92],[116],[158],[175],[34],[9, 9, 4]",,,,,"0,[49, 76],[1, 189]","0,[1, 124]",,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 184],[47, 149]","6035,[152],[45, 32]",,,"1,[152]",,,,,,,,,"2,[92],[116],[158],[175],[34],[9, 9, 26]",,,,,"0,[49, 76],[1, 189]","0,[1, 124]",,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 184],[47, 149]","333,[172],[45, 32]",,,"1,[172]",,,,,,,,,"1209,[169],[183],[158],[175],[34],[23, 22, 15]",,,,,"0,[49, 76],[1, 189]",,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 184],[47, 149]","36214,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[169],[183],[158],[175],[34],[23, 22, 15]",,,,,"0,[49, 76],[1, 189]",,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"66050,[1, 187],[47, 57]","371,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[169],[183],[158],[175],[34],[23, 22, 15]",,,,,"0,[49, 76],[1, 189]",,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 187],[47, 57]","11247,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[169],[183],[158],[175],[34],[23, 22, 15]",,,,,"0,[49, 76],[1, 189]",,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"9,[1, 187],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[169],[183],[158],[175],[34],[23, 22, 15]",,,,,,,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"1,[1, 187],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"1,[169],[183],[158],[175],[34],[23, 22, 9]",,,,,,,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 187],[47, 57]","1,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[169],[183],[158],[175],[34],[23, 22, 9]",,,,,,,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",16526,,"9,[1, 187],[47, 57]","0,[55],[45, 141]",,,"1,[55]",,,,,,,,,"2231,[169],[183],[119],[175],[17],[4, 14, 5]",,,,,,,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"1,[1, 187],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 5]",,,,,,,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",0,,"0,[1, 187],[47, 57]","3,[57],[157, 45, 32]",,,"175,[57]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 5]",,,,,,,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",1,,"6,[1, 187],[47, 57]","17669,[152],[45, 32]",,,"0,[152]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 5]",,,,,,,,
,"0,[103],[32],[119],[175],[28],[10, 23, 24]",1,,"3,[1, 187],[47, 57]","467,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 5]",,,,,,,,
,"36306,[98],[32],[119],[175],[28],[33, 28, 6]",0,,"1,[1, 187],[47, 57]","28167,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 5]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 6]",0,,"0,[1, 187],[47, 57]","346,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 5]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 6]",0,,"6,[1, 187],[47, 57]","556,[152],[45, 32]",,,"1,[152]",,,,,,,,,"1,[169],[183],[119],[175],[17],[4, 14, 46]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 6]",1,,"3,[1, 187],[47, 57]","361,[172],[45, 32]",,,"0,[172]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 46]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 6]",0,,"1,[1, 187],[47, 57]","1004,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 46]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 6]",1153,,"0,[1, 187],[47, 57]","332,[172],[45, 32]",,,"1,[172]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 46]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 6]",0,,"4,[1, 187],[47, 57]","36317,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 46]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 6]",0,,"2,[1, 187],[47, 57]","367,[172],[45, 32]",,,"1,[172]",,,,,,,,,"1,[169],[183],[119],[175],[17],[4, 14, 2]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 6]",0,,"3,[1, 187],[47, 57]","78899,[152],[45, 32]",,,"1,[152]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 2]",,,,,,,,
,"1,[98],[32],[119],[175],[28],[33, 28, 31]",0,,"1,[1, 187],[47, 57]","356,[172],[45, 32]",,,"0,[172]",,,,,,,,,"0,[169],[183],[119],[175],[17],[4, 14, 2]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 31]",0,,"0,[1, 187],[47, 57]","47507,[55],[45, 141]",,,"1,[55]",,,,,,,,,"21084,[170],[99],[71],[131],[5, 40, 28]",,,,,,,,
,"0,[98],[32],[119],[175],[28],[33, 28, 31]",0,,"4,[1, 187],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[170],[99],[71],[131],[5, 40, 28]",,,,,,,,
,"3,[98],[32],[119],[175],[28],[33, 28, 56]",0,,"2,[1, 187],[47, 57]","0,[55],[45, 141]",,,"0,[55]",,,,,,,,,"0,[170],[99],[71],[131],[5, 40, 28]",,,,,,,,
