log message,log key,parameter value vector
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:45 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:45 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:45']"
Jun 12 00:07:46 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:46 2005,connection from <*> () at    <*> 2005,"[1, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']"
Jun 12 00:07:46 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:46 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']"
Jun 12 00:07:46 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:46 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']"
Jun 12 00:07:46 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:46 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']"
Jun 12 00:07:46 connection from 222.33.90.199 (0) at Sun Jun 12 00:07:46 2005,connection from <*> () at    <*> 2005,"[0, '222.33.90.199', '0', 'Sun', 'Jun', '12', '00:07:46']"
Jun 12 01:12:13 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[3867, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:13 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:13 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:14 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[1, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:14 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:17 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[3, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:18 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[1, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:21 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[3, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:22 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[1, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:22 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:12:27 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[5, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:15:17 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[170, 'rhost=218.188.2.4', ' user=test']"
Jun 12 01:15:23 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4  user=test,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[6, 'rhost=218.188.2.4', ' user=test']"
Jun 12 02:30:22 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.241.200  user=guest,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[4499, 'rhost=211.46.241.200', ' user=guest']"
Jun 12 04:04:06 session opened for user cyrus by (uid=0),session opened for user  by ,"[5624, 'cyrus', '(uid=0)']"
Jun 12 04:04:07 session closed for user cyrus,session closed for user ,"[1, 'cyrus']"
Jun 12 04:04:09 cupsd shutdown succeeded,cupsd shutdown succeeded,[2]
Jun 12 04:04:15 cupsd startup succeeded,cupsd startup succeeded,[6]
Jun 12 04:04:19 restart.,restart.,[4]
Jun 12 04:04:19 ALERT exited abnormally with [1],ALERT exited abnormally with [1],[0]
Jun 12 04:10:11 session opened for user news by (uid=0),session opened for user  by ,"[352, 'news', '(uid=0)']"
Jun 12 04:10:11 session closed for user news,session closed for user ,"[0, 'news']"
Jun 12 05:21:33 session opened for user test by (uid=509),session opened for user  by ,"[4282, 'test', '(uid=509)']"
Jun 12 05:24:13 session closed for user test,session closed for user ,"[160, 'test']"
Jun 12 14:10:40 check pass; user unknown,check pass; user unknown,[31587]
Jun 12 14:10:40 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:40 check pass; user unknown,check pass; user unknown,[0]
Jun 12 14:10:40 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:42 check pass; user unknown,check pass; user unknown,[2]
Jun 12 14:10:42 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:44 check pass; user unknown,check pass; user unknown,[2]
Jun 12 14:10:44 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:44 check pass; user unknown,check pass; user unknown,[0]
Jun 12 14:10:44 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:46 check pass; user unknown,check pass; user unknown,[2]
Jun 12 14:10:46 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:46 check pass; user unknown,check pass; user unknown,[0]
Jun 12 14:10:46 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:49 check pass; user unknown,check pass; user unknown,[3]
Jun 12 14:10:49 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:50 check pass; user unknown,check pass; user unknown,[1]
Jun 12 14:10:50 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:50 check pass; user unknown,check pass; user unknown,[0]
Jun 12 14:10:50 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:52 check pass; user unknown,check pass; user unknown,[2]
Jun 12 14:10:52 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:52 check pass; user unknown,check pass; user unknown,[0]
Jun 12 14:10:52 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 12 14:10:54 check pass; user unknown,check pass; user unknown,[2]
Jun 12 14:10:54 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.38.14.205,authentication failure; logname= uid=0 euid=0  ruser= ,"[0, 'tty=NODEVssh', 'rhost=218.38.14.205']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[42633, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:27 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:27 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:27']"
Jun 13 02:01:28 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:28 2005,connection from <*>  at    <*> 2005,"[1, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']"
Jun 13 02:01:28 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:28 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']"
Jun 13 02:01:28 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:28 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']"
Jun 13 02:01:28 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:28 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']"
Jun 13 02:01:28 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:28 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']"
Jun 13 02:01:28 connection from 61.218.67.60 (mail.net-star.com.tw) at Mon Jun 13 02:01:28 2005,connection from <*>  at    <*> 2005,"[0, '61.218.67.60', '(mail.net-star.com.tw)', 'Mon', 'Jun', '13', '02:01:28']"
Jun 13 04:03:07 session opened for user cyrus by (uid=0),session opened for user  by ,"[7299, 'cyrus', '(uid=0)']"
Jun 13 04:03:08 session closed for user cyrus,session closed for user ,"[1, 'cyrus']"
Jun 13 04:03:09 ALERT exited abnormally with [1],ALERT exited abnormally with [1],[1]
Jun 13 04:09:20 session opened for user news by (uid=0),session opened for user  by ,"[371, 'news', '(uid=0)']"
Jun 13 04:09:22 session closed for user news,session closed for user ,"[2, 'news']"
Jun 13 05:27:11 bad username [;;],bad username [;;],[4669]
Jun 13 05:27:12 Couldn't authenticate user,Couldn't authenticate user,[1]
Jun 13 05:27:30 bad username [],bad username [],[18]
Jun 13 05:27:31 Couldn't authenticate user,Couldn't authenticate user,[1]
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[13333, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 09:09:44 connection from 212.5.120.141 (host-141.STSK.macomnet.net) at Mon Jun 13 09:09:44 2005,connection from <*>  at    <*> 2005,"[0, '212.5.120.141', '(host-141.STSK.macomnet.net)', 'Mon', 'Jun', '13', '09:09:44']"
Jun 13 10:18:09 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.153.202.254  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[4105, 'rhost=61.153.202.254', ' user=root']"
Jun 13 10:18:09 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.153.202.254  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=61.153.202.254', ' user=root']"
Jun 13 10:18:09 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.153.202.254  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=61.153.202.254', ' user=root']"
Jun 13 10:18:09 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.153.202.254  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=61.153.202.254', ' user=root']"
Jun 13 10:18:09 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.153.202.254  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=61.153.202.254', ' user=root']"
Jun 13 10:18:09 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.153.202.254  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=61.153.202.254', ' user=root']"
Jun 13 10:18:09 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=61.153.202.254  user=root,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser=  ,"[0, 'rhost=61.153.202.254', ' user=root']"
