E16,E47,E89,E73,E98,E114,E111,E37,E36,E91,E12,E59,E3,E80,E8,E109,E2,E85,E115,E26,E68,E45,E57,E30,E71,E99,E9,E60,E78,E77,E103,E32,E84,E102,E69,E39,E94,E66,E17,E81,E75,E25,E40,E92,E64,E70,E14,E87,E55,E1,E113,E10,E4,E0,E33,E46,E63,E110,E53,E88,E49,E97,E106,E93,E20,E86,E21,E15,E90,E117,E35,E7,E107,E13,E116,E52,E29,E31,E76,E51,E67,E50,E96,E100,E41,E43,E56,E108,E22,E54,E11,E61,E83,E34,E112,E62,E74,E105,E19,E79,E38,E28,E24,E65,E42,E23,E58,E5,E48,E101,E6,E72,E18,E95,E82,E104,E27,E44
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,,"[0, 'news']",,,,,,,[1],,,,,[531],,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",,,"[66050, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[367, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,,"[0, 'cyrus']",,,,,,,[0],,,,,[987],,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",,,"[0, 'n219076184117.netvigator.com']",,[45],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1315, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[1, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[1],,,,,[884],,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",,,"[9, 'n219076184117.netvigator.com']",,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[342, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '218.188.2.4']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,[1],,,,,[463],,,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '07 2005']",,,"[1, 'n219076184117.netvigator.com']",,[9612],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[67609, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,"[0, '163.27.187.39', '163.27.187.39']",,,,,,"[0, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[1],,,,,[3231],,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '07 2005']",,,"[0, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[364, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,,,,,,,"[0, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,[1],,,,,[2356],,,"[2231, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",,,"[9, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2856, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,,,,,,,"[2, '209.152.168.249']",,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[0, 'news']",,,,,,,[1],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",,,"[1, 'n219076184117.netvigator.com']",,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[342, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,[1],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",,,"[0, 'n219076184117.netvigator.com']",,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4214, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[0],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",,,"[6, 'n219076184117.netvigator.com']",,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[458, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,[1],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",,,"[3, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[16529, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[0, 'news']",,,,,,,[1],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",,,"[1, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[337, 'news', '0']",,,,,,,,
,,,,,,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[0, 'cyrus']",,,,,,,[1],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",,,"[0, 'n219076184117.netvigator.com']",,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[32947, 'cyrus', '0']",,,,,,,,
,,,,,,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[1],,,,,,,,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",,,"[6, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[368, 'news', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '061092085098.ctinets.com']",,,,,,,,,,,,,,,,"[0, 'cyrus']",,,,,,,[1],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",,,"[3, 'n219076184117.netvigator.com']",,[18715],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[31123, 'cyrus', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'd211-116-254-214.rev.krline.net']",,,,,,,,,,,,,,,,"[2, 'news']",,,,,,,[1],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",,,"[1, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[331, 'news', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'd211-116-254-214.rev.krline.net']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,[0],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",,,"[0, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[85963, 'cyrus', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'd211-116-254-214.rev.krline.net']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[1],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",,,"[4, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[367, 'news', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'd211-116-254-214.rev.krline.net']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,[1],,,,,,,,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '12 2005']",,,"[2, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[71856, 'cyrus', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'd211-116-254-214.rev.krline.net']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[0],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '12 2005']",,,"[3, 'n219076184117.netvigator.com']",,[16552],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[343, 'news', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,[0],,,,,,,,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '12 2005']",,,"[1, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2447, 'cyrus', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[1],,,,,,,,"[84341, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[0, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[377, 'news', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,[1],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[4, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[47946, 'cyrus', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,[0],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[2, 'n219076184117.netvigator.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[347, 'news', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[1],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[69414, '218.22.3.51']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[5006, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[1],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[0, '218.22.3.51']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[1],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[1, '218.22.3.51']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[1],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[0, '218.22.3.51']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[1, 'test']",,,,,,,[0],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[0, '218.22.3.51']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[1],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[0, '218.22.3.51']",,[16526],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[0],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[1, '218.22.3.51']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[1],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[0, '218.22.3.51']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[1],,,,,,,,"[0, '222.33.90.199', '0', 'Mon Jun 20 03', '40', '59 2005']",,,"[0, '218.22.3.51']",,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,[1],,,,,,,,"[31534, '210.245.165.136', '0', 'Wed Jun 22 13', '16', '30 2005']",,,"[14200, 'troi.bluesky-technologies.com']",,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[1, 'cyrus']",,,,,,,,,,,,,,,"[0, '210.245.165.136', '0', 'Wed Jun 22 13', '16', '30 2005']",,,"[2, 'troi.bluesky-technologies.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[13422, 'cyrus', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[1, 'news']",,,,,,,,,,,,,,,"[0, '210.245.165.136', '0', 'Wed Jun 22 13', '16', '30 2005']",,,"[0, 'troi.bluesky-technologies.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[376, 'news', '0']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,,,,,,,,,"[0, '210.245.165.136', '0', 'Wed Jun 22 13', '16', '30 2005']",,,"[0, 'troi.bluesky-technologies.com']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3050, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,,,,,,,,,"[0, '210.245.165.136', '0', 'Wed Jun 22 13', '16', '30 2005']",,,"[0, 'troi.bluesky-technologies.com']",,[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, '65.166.159.14']",,,,,,,,,,,,,,,,"[0, 'test']",,,,,,,,,,,,,,,"[0, '210.245.165.136', '0', 'Wed Jun 22 13', '16', '30 2005']",,,"[14483, '61.53.154.93']",,[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0, 'test', '509']",,,,,,,,
