log message,log key,parameter value vector,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
Jun 15 02:04:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E107,"[0, '220-135-151-1.hinet-ip.hinet.net']",0,[53],,,,,,,,,,,,,,
Jun 15 04:06:18 session opened for user cyrus by (uid=0),E101,"[7279, 'cyrus', '0']",7279,[106],[5],,,,,,,,,,,,,
Jun 15 04:06:19 session closed for user cyrus,E33,"[1, 'cyrus']",1,[106],,,,,,,,,,,,,,
Jun 15 04:06:20 ALERT exited abnormally with [1],E97,[1],1,,,,,,,,,,,,,,,
Jun 15 04:12:42 session opened for user news by (uid=0),E101,"[382, 'news', '0']",382,[75],[5],,,,,,,,,,,,,
Jun 15 04:12:43 session closed for user news,E33,"[1, 'news']",1,[75],,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[28791],28791,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:12:34 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 12:12:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:13:19 check pass; user unknown,E116,[45],45,,,,,,,,,,,,,,,
Jun 15 12:13:19 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 12:13:20 check pass; user unknown,E116,[1],1,,,,,,,,,,,,,,,
Jun 15 12:13:20 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E17,"[0, '218.188.2.4']",0,[91],,,,,,,,,,,,,,
Jun 15 14:53:32 check pass; user unknown,E116,[9612],9612,,,,,,,,,,,,,,,
Jun 15 14:53:32 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:32 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:32 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:32 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:32 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:33 check pass; user unknown,E116,[1],1,,,,,,,,,,,,,,,
Jun 15 14:53:33 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:34 check pass; user unknown,E116,[1],1,,,,,,,,,,,,,,,
Jun 15 14:53:34 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:35 check pass; user unknown,E116,[1],1,,,,,,,,,,,,,,,
Jun 15 14:53:35 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:35 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:35 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:35 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:35 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:36 check pass; user unknown,E116,[1],1,,,,,,,,,,,,,,,
Jun 15 14:53:36 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 14:53:36 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 14:53:36 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E17,"[0, '061092085098.ctinets.com']",0,[295],,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E116,[18715],18715,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E17,"[0, 'd211-116-254-214.rev.krline.net']",0,[85],,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E17,"[0, 'd211-116-254-214.rev.krline.net']",0,[85],,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E17,"[0, 'd211-116-254-214.rev.krline.net']",0,[85],,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E17,"[0, 'd211-116-254-214.rev.krline.net']",0,[85],,,,,,,,,,,,,,
Jun 15 20:05:31 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 15 20:05:31 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E17,"[0, 'd211-116-254-214.rev.krline.net']",0,[85],,,,,,,,,,,,,,
Jun 16 04:10:22 session opened for user cyrus by (uid=0),E101,"[29091, 'cyrus', '0']",29091,[106],[5],,,,,,,,,,,,,
Jun 16 04:10:23 session closed for user cyrus,E33,"[1, 'cyrus']",1,[106],,,,,,,,,,,,,,
Jun 16 04:10:24 ALERT exited abnormally with [1],E97,[1],1,,,,,,,,,,,,,,,
Jun 16 04:16:17 session opened for user news by (uid=0),E101,"[353, 'news', '0']",353,[75],[5],,,,,,,,,,,,,
Jun 16 04:16:18 session closed for user news,E33,"[1, 'news']",1,[75],,,,,,,,,,,,,,
Jun 17 04:03:33 session opened for user cyrus by (uid=0),E101,"[85635, 'cyrus', '0']",85635,[106],[5],,,,,,,,,,,,,
Jun 17 04:03:34 session closed for user cyrus,E33,"[1, 'cyrus']",1,[106],,,,,,,,,,,,,,
Jun 17 04:03:36 ALERT exited abnormally with [1],E97,[2],2,,,,,,,,,,,,,,,
Jun 17 04:09:43 session opened for user news by (uid=0),E101,"[367, 'news', '0']",367,[75],[5],,,,,,,,,,,,,
Jun 17 04:09:45 session closed for user news,E33,"[2, 'news']",2,[75],,,,,,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E117,"[10635, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",10635,[119],[163],[309],[280],[49],,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E117,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,[119],[163],[309],[280],[49],,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E117,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,[119],[163],[309],[280],[49],,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E117,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,[119],[163],[309],[280],[49],,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E117,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,[119],[163],[309],[280],[49],,,,,,,,,,
Jun 17 07:07:00 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E117,"[0, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '00 2005']",0,[119],[163],[309],[280],[49],,,,,,,,,,
Jun 17 07:07:02 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,E117,"[2, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '02 2005']",2,[119],[163],[309],[280],[129],,,,,,,,,,
Jun 17 07:07:04 connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,E117,"[2, '24.54.76.216', '24-54-76-216.bflony.adelphia.net', 'Fri Jun 17 07', '07', '04 2005']",2,[119],[163],[309],[280],[61],,,,,,,,,,
Jun 17 19:43:13 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,E115,"[45369, '211.46.224.253']",45369,[275],,,,,,,,,,,,,,
Jun 17 20:29:26 session opened for user test by (uid=509),E101,"[2773, 'test', '509']",2773,[199],[205],,,,,,,,,,,,,
Jun 17 20:34:57 session closed for user test,E33,"[331, 'test']",331,[199],,,,,,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E117,"[1209, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",1209,[150],[171],[243],[181],[136],,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",0,[150],[171],[243],[181],[136],,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",0,[150],[171],[243],[181],[136],,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",0,[150],[171],[243],[181],[136],,,,,,,,,,
Jun 17 20:55:06 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '06 2005']",0,[150],[171],[243],[181],[136],,,,,,,,,,
Jun 17 20:55:07 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E117,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '07 2005']",1,[150],[171],[243],[181],[155],,,,,,,,,,
Jun 17 20:55:07 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Fri Jun 17 20', '55', '07 2005']",0,[150],[171],[243],[181],[155],,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[16552],16552,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 01:30:59 check pass; user unknown,E116,[0],0,,,,,,,,,,,,,,,
Jun 18 01:30:59 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E17,"[0, 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']",0,[122],,,,,,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E117,"[2231, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",2231,[150],[171],[158],[236],[3],,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,[150],[171],[158],[236],[3],,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,[150],[171],[158],[236],[3],,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,[150],[171],[158],[236],[3],,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,[150],[171],[158],[236],[3],,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,[150],[171],[158],[236],[3],,,,,,,,,,
Jun 18 02:08:10 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:10 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '10 2005']",0,[150],[171],[158],[236],[3],,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E117,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",1,[150],[171],[158],[236],[29],,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",0,[150],[171],[158],[236],[29],,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",0,[150],[171],[158],[236],[29],,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",0,[150],[171],[158],[236],[29],,,,,,,,,,
Jun 18 02:08:11 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:11 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '11 2005']",0,[150],[171],[158],[236],[29],,,,,,,,,,
Jun 18 02:08:12 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E117,"[1, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '12 2005']",1,[150],[171],[158],[236],[303],,,,,,,,,,
Jun 18 02:08:12 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '12 2005']",0,[150],[171],[158],[236],[303],,,,,,,,,,
Jun 18 02:08:12 connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Sat Jun 18 02:08:12 2005,E117,"[0, '82.252.162.81', 'lns-vlq-45-tou-82-252-162-81.adsl.proxad.net', 'Sat Jun 18 02', '08', '12 2005']",0,[150],[171],[158],[236],[303],,,,,,,,,,
Jun 18 02:23:10 User unknown timed out after 900 seconds at Sat Jun 18 02:23:10 2005,E67,"[898, '900', 'Jun 18 02:23:10 2005']",898,[256],"[41, 2, 3]",,,,,,,,,,,,,
Jun 18 04:07:05 session opened for user cyrus by (uid=0),E101,"[6235, 'cyrus', '0']",6235,[106],[5],,,,,,,,,,,,,
Jun 18 04:07:06 session closed for user cyrus,E33,"[1, 'cyrus']",1,[106],,,,,,,,,,,,,,
Jun 18 04:07:06 ALERT exited abnormally with [1],E97,[0],0,,,,,,,,,,,,,,,
Jun 18 04:12:42 session opened for user news by (uid=0),E101,"[336, 'news', '0']",336,[75],[5],,,,,,,,,,,,,
Jun 18 04:12:43 session closed for user news,E33,"[1, 'news']",1,[75],,,,,,,,,,,,,,
Jun 19 04:08:55 session opened for user cyrus by (uid=0),E101,"[86172, 'cyrus', '0']",86172,[106],[5],,,,,,,,,,,,,
Jun 19 04:08:55 session closed for user cyrus,E33,"[0, 'cyrus']",0,[106],,,,,,,,,,,,,,
Jun 19 04:08:57 cupsd shutdown succeeded,E53,[2],2,,,,,,,,,,,,,,,
Jun 19 04:09:02 cupsd startup succeeded,E103,[5],5,,,,,,,,,,,,,,,
Jun 19 04:09:11 restart.,E102,[9],9,,,,,,,,,,,,,,,
Jun 19 04:09:11 ALERT exited abnormally with [1],E97,[0],0,,,,,,,,,,,,,,,
