EventId,EventTemplate,Occurrences
023f2232,net.ipv4.conf.all.rp_filter = 1,2
0733c4da,See Documentation/networking/vortex.txt,1
a051941d,kernel.sysrq = 0,2
55114e45,"eth0: 3Com PCI 3c905C Tornado at 0xec80, 00:b0:d0:87:85:c3, IRQ 5",1
1fcd53c8,Configuring kernel parameters: succeeded,1
aedc4a09,product code 0000 rev 00.14 date 07-16-104,1
30f3b4fa,Tue Aug 17 <*> EDT 2004,1
a879cd61,"8K byte-wide RAM 5:3 Rx:Tx split, autoselect/Autonegotiate interface.",1
e093cfb6,Setting clock (localtime): Tue Aug 17 <*> EDT 2004 succeeded,1
700790c4,"MII transceiver found at address 24, status 782d.",1
f6d22637,Loading default keymap succeeded,1
2df6dc49,Enabling bus-master transmits and whole-frame receives.,1
8097b993,Setting default font (lat0-sun16): succeeded,1
8513c4d7,eth0: scatter/gather disabled. h/w checksums enabled,1
e4ff0c99,Activating swap partitions: succeeded,1
e8a19df5,"eth0: using NWAY device table, not 8",1
6fea38a8,Setting hostname ns1.bkwconsulting.com: succeeded,1
fd32c5f1,Initializing USB controller (usb-uhci): succeeded,1
683a2f9a,"/: clean, 17046/66264 files, 63476/265041 blocks",1
4fa0fd97,Checking root filesystem succeeded,1
779ffa1c,Remounting root filesystem in read-write mode: succeeded,1
1759c811,"starting automounter version 3.1.7, path = /misc, maptype = file, mapname = /etc/auto.misc",1
7d0225bc,autofs startup succeeded,1
4b95975b,Finding module dependencies: succeeded,1
43c50dc5,"/boot: clean, 26/14056 files, 5265/56196 blocks",1
329e7435,"/home: clean, 911/780288 files, 200825/1560305 blocks",1
21f535a9,"/usr: clean, 51695/780288 files, 240738/1560305 blocks",1
e95142b3,"/var: clean, 20533/66264 files, 193376/265041 blocks",1
0e686c5f,Checking filesystems succeeded,1
452a7966,atd startup succeeded,1
581f76d8,Turning on process accounting succeeded,1
279ed968,Turning on user and group quotas for local filesystems: succeeded,1
29bbeca6,Enabling swap space: succeeded,1
3d598e42,Entering runlevel: 3,1
8a508e05,Updating /etc/fstab succeeded,1
32d0250e,succeeded,2
681281ae,Starting sshd:,1
2d3bb485,using kernel protocol version 3,1
aa511af6,Setting network parameters: succeeded,1
36e54035,Bringing up interface  succeeded,2
c9e23cba,Starting sshd: succeeded,1
b689f7db,"chargen disabled, removing",1
8933f0d2,"chargen-udp disabled, removing",1
5bcf5882,"time disabled, removing",2
f43b072c,"daytime disabled, removing",1
e0537468,"talk disabled, removing",1
099f274e,"rsync disabled, removing",1
cc209032,"shell disabled, removing",1
fa5af1ea,"login disabled, removing",1
97940061,"exec disabled, removing",1
984cab86,"pop3s disabled, removing",1
859a899f,"ntalk disabled, removing",1
da0b6e2d,"daytime-udp disabled, removing",1
8f7a51a4,"pop2 disabled, removing",1
4c37b151,"imaps disabled, removing",1
a608ea8f,"echo disabled, removing",1
4a72028c,"finger disabled, removing",1
773b653a,"echo-udp disabled, removing",1
072a6783,xinetd Version <*>pre14 started with,1
6f4d1c7f,libwrap,1
9c3baeb1,options compiled in.,1
42339b3d,Started working: 4 available services,1
e3b3c521,xinetd startup succeeded,1
ac74e097,sendmail startup succeeded,1
c1cd3db1,gpm startup succeeded,1
a4c10530,crond startup succeeded,1
00691bd6,listening on port 7100,1
78fcfdec,xfs startup succeeded,1
7e31404a,anacron startup succeeded,1
baef46da,httpd startup succeeded,1
2785120f,Squid Parent: child process 893 started,1
8c68af4c,named startup succeeded,1
cf189fc0,starting BIND 9.1.0 -u named,1
95b1a825,using 1 CPU,1
018ef2a8,loading configuration from '/etc/named.conf',1
7e3638b3,the default for the 'auth-nxdomain' option is now 'no',1
27bc5cea,no IPv6 interfaces found,1
f920ba7b,listening on IPv4 interface  <*>#53,24
10964d0b,snmpd startup succeeded,1
73b63daf,ntpd startup succeeded,1
9debbd7f,ntpd 4.0.99k Mon Apr 9 <*> EDT 2001 (1),1
5cb789e9,precision = 11 usec,1
31d2acbd,using kernel phase-lock loop ,2
ea31f21f,running,1
bf9b797a,frequency initialized 0.000 from /etc/ntp/drift,1
af8eaf49,...multicast address <*> using wildcard socket,1
ce3b0820,smbd startup succeeded,1
f7ecd57f,nmbd startup succeeded,1
7c60ab40,UCD-SNMP version 4.2,1
f74dafe2,identd startup succeeded,1
d24d5e98,rsyncd version 2.4.6 starting,1
8f50abd3,bad username [ ],1
5d87e4a5,FAILED LOGIN  FROM (null) FOR  Authentication failure,3
6d866ac9,bad username [],1
61311a79,authentication failure; logname=LOGIN uid=0 euid=0 tty=tty1 ruser= rhost= user=tguy,1
13fc0eeb,session opened for user tguy by LOGIN(uid=0),1
2904380a,LOGIN ON tty2 BY tguy,1
d594a625,session closed for user tguy,1
